,Merchant_id,Business_type,Location,mof,Affirm_product,churn
0,M0001,Ticket,Phoenix,52,Partnership,0
1,M0002,Beauty,San Francisco,15,Partnership,0
2,M0003,Airline,Houston,61,VCN-integration,0
3,M0004,Airline,Los Angeles,21,Partnership,0
4,M0005,Ticket,Phoenix,24,Partnership,0
5,M0006,Airline,San Francisco,3,Other integrations,0
6,M0007,Restaurant,Houston,22,VCN-integration,0
7,M0008,Ticket,New York,53,VCN-integration,0
8,M0009,Airline,Houston,2,Other integrations,0
9,M0010,Ticket,New York,30,API-integration,0
10,M0011,Ticket,New York,38,API-integration,0
11,M0012,Retail,San Francisco,2,Other integrations,0
12,M0013,Retail,Houston,64,Partnership,0
13,M0014,Retail,Houston,60,Debit Card,0
14,M0015,Airline,New York,21,API-integration,0
15,M0016,Beauty,Chicago,33,API-integration,0
16,M0017,Restaurant,Phoenix,58,Other integrations,0
17,M0018,Airline,Los Angeles,22,Other integrations,0
18,M0019,Retail,Houston,49,Debit Card,0
19,M0020,Ticket,Phoenix,59,Debit Card,0
20,M0021,Airline,Phoenix,42,VCN-integration,0
21,M0022,Ticket,Chicago,60,Other integrations,0
22,M0023,Ticket,Phoenix,15,API-integration,0
23,M0024,Ticket,Houston,62,Affirm Anywhere,1
24,M0025,Department_store,San Francisco,62,Affirm Anywhere,0
25,M0026,Beauty,San Francisco,47,Partnership,0
26,M0027,Restaurant,Phoenix,62,API-integration,0
27,M0028,Restaurant,Houston,51,Affirm Anywhere,0
28,M0029,Retail,Houston,55,API-integration,0
29,M0030,Department_store,New York,64,Other integrations,0
30,M0031,Airline,Chicago,3,API-integration,0
31,M0032,Airline,Los Angeles,51,Affirm Anywhere,0
32,M0033,Restaurant,New York,7,API-integration,0
33,M0034,Beauty,Los Angeles,21,Debit Card,0
34,M0035,Ticket,Houston,39,Partnership,0
35,M0036,Retail,San Francisco,18,VCN-integration,0
36,M0037,Beauty,New York,4,Affirm Anywhere,0
37,M0038,Restaurant,Phoenix,60,Other integrations,0
38,M0039,Department_store,Phoenix,14,VCN-integration,0
39,M0040,Retail,Los Angeles,9,Partnership,0
40,M0041,Restaurant,Houston,53,Debit Card,0
41,M0042,Airline,San Francisco,2,Debit Card,0
42,M0043,Retail,Los Angeles,60,Debit Card,0
43,M0044,Restaurant,San Francisco,71,Debit Card,0
44,M0045,Airline,Chicago,44,Affirm Anywhere,0
45,M0046,Airline,San Francisco,8,Affirm Anywhere,0
46,M0047,Ticket,Phoenix,47,API-integration,0
47,M0048,Department_store,New York,35,Other integrations,1
48,M0049,Ticket,New York,36,API-integration,0
49,M0050,Restaurant,New York,50,Other integrations,0
50,M0051,Beauty,San Francisco,4,Partnership,0
51,M0052,Ticket,Phoenix,2,API-integration,0
52,M0053,Beauty,San Francisco,6,Partnership,0
53,M0054,Airline,Houston,54,Partnership,0
54,M0055,Restaurant,Phoenix,4,Partnership,0
55,M0056,Department_store,Phoenix,54,Debit Card,0
56,M0057,Beauty,San Francisco,63,VCN-integration,0
57,M0058,Restaurant,San Francisco,18,VCN-integration,0
58,M0059,Beauty,New York,44,Affirm Anywhere,0
59,M0060,Ticket,Phoenix,34,Partnership,0
60,M0061,Restaurant,New York,62,Debit Card,0
61,M0062,Ticket,Houston,14,API-integration,0
62,M0063,Retail,Chicago,48,API-integration,0
63,M0064,Restaurant,New York,15,Affirm Anywhere,0
64,M0065,Beauty,San Francisco,62,Affirm Anywhere,0
65,M0066,Retail,Los Angeles,40,Partnership,0
66,M0067,Ticket,Chicago,53,Partnership,0
67,M0068,Ticket,Houston,24,API-integration,1
68,M0069,Beauty,San Francisco,26,API-integration,0
69,M0070,Retail,Chicago,60,API-integration,0
70,M0071,Airline,San Francisco,41,API-integration,0
71,M0072,Department_store,New York,29,VCN-integration,0
72,M0073,Beauty,San Francisco,15,Partnership,0
73,M0074,Ticket,Houston,45,Partnership,0
74,M0075,Restaurant,Los Angeles,65,API-integration,0
75,M0076,Retail,New York,71,Debit Card,0
76,M0077,Airline,New York,9,API-integration,0
77,M0078,Department_store,Houston,1,Other integrations,0
78,M0079,Restaurant,Houston,8,Affirm Anywhere,0
79,M0080,Retail,Chicago,63,Other integrations,0
80,M0081,Airline,Los Angeles,11,Debit Card,0
81,M0082,Beauty,San Francisco,8,Affirm Anywhere,0
82,M0083,Airline,Chicago,35,Debit Card,0
83,M0084,Beauty,San Francisco,35,Affirm Anywhere,0
84,M0085,Retail,San Francisco,33,API-integration,0
85,M0086,Airline,San Francisco,5,API-integration,0
86,M0087,Department_store,Chicago,41,Debit Card,0
87,M0088,Airline,New York,28,Affirm Anywhere,0
88,M0089,Retail,Houston,7,VCN-integration,0
89,M0090,Restaurant,New York,12,Debit Card,0
90,M0091,Restaurant,Los Angeles,34,Debit Card,1
91,M0092,Airline,Chicago,33,Other integrations,0
92,M0093,Airline,Los Angeles,48,Partnership,0
93,M0094,Beauty,Houston,23,Debit Card,0
94,M0095,Retail,Houston,62,VCN-integration,0
95,M0096,Beauty,Phoenix,37,API-integration,0
96,M0097,Department_store,Los Angeles,44,Affirm Anywhere,0
97,M0098,Restaurant,New York,35,Partnership,0
98,M0099,Ticket,Los Angeles,65,Affirm Anywhere,0
99,M0100,Ticket,Chicago,47,API-integration,0
100,M0101,Retail,Houston,3,Debit Card,0
101,M0102,Retail,Houston,1,Other integrations,1
102,M0103,Ticket,Los Angeles,5,VCN-integration,0
103,M0104,Retail,Los Angeles,14,Partnership,0
104,M0105,Restaurant,San Francisco,27,VCN-integration,0
105,M0106,Department_store,Los Angeles,9,VCN-integration,0
106,M0107,Department_store,San Francisco,15,VCN-integration,0
107,M0108,Beauty,Chicago,42,VCN-integration,0
108,M0109,Restaurant,Chicago,51,API-integration,0
109,M0110,Retail,New York,63,VCN-integration,0
110,M0111,Retail,Los Angeles,52,Other integrations,0
111,M0112,Beauty,New York,4,VCN-integration,0
112,M0113,Beauty,Phoenix,23,API-integration,0
113,M0114,Retail,Chicago,15,Affirm Anywhere,0
114,M0115,Retail,Houston,43,API-integration,1
115,M0116,Restaurant,San Francisco,29,Other integrations,0
